ambitos territoriales,Renta capital inmobiliario,Renta capital mobiliario,Renta de actividades,Renta del trabajo,Renta disponible,Renta total,Transferencias
Berriatua,330,1084,998,11483,16167,18911,5015
Berrobi,191,654,599,13374,17260,20274,5456
Bidania-Goiatz,201,371,1071,13550,16735,19521,4329
Bidasoa Beherea / Bajo Bidasoa,547,1011,1112,10842,15980,18854,5342
Bilbao,477,1467,1064,11855,16976,20526,5662
Bilbo Handia / Gran Bilbao,392,1159,935,11726,16458,19712,5500
Bizkaia,384,1144,947,11956,16565,19818,5387
Busturia,231,806,795,10945,15965,18808,6031
B�rriz,402,1325,840,12788,17173,20429,5073
C.A. de Euskadi,425,1236,963,12182,17149,20443,5637
Campezo/Kanpezu,260,914,1426,9621,14946,17398,5176
Deba,417,1359,1019,13004,18633,22065,6266
Deba Beherea / Bajo Deba,363,2123,762,12346,18636,22060,6467
Debagoiena / Alto Deba,245,1839,706,13372,19992,23323,7161
Derio,346,690,928,13220,16652,19557,4374
Dima,479,660,1052,14907,18101,21606,4507
Donostia / San Sebasti�n,842,2226,1355,13447,20206,24552,6682
Donostialdea / Donostia-San Sebasti�n,617,1528,1118,12468,18381,21957,6227
Durangaldea / Duranguesado,322,1040,921,13071,17119,20401,5046
Durango,406,1373,1265,14236,18235,22099,4819
Ea,240,1797,1197,10872,16649,19788,5682
Eibar,395,3165,741,11774,19293,22937,6862
Elantxobe,133,705,586,8274,14593,16778,7079
Elburgo/Burgelu,769,724,1828,15476,18737,22737,3941
Elciego,369,1468,3185,9999,16527,20020,5000
Elduain,158,550,728,15679,19828,23877,6762
Elgeta,368,1097,1303,14913,19366,22787,5107
Elgoibar,361,1366,713,13031,18336,21714,6243
Elorrio,288,1594,745,12977,17697,21003,5398
Elvillar/Bilar,309,910,6430,4623,13966,15904,3632
Enkartazioak / Encartaciones,259,546,992,10026,14484,16847,5024
Erandio,203,364,684,9917,13915,16001,4833
Ere�o,626,1595,1179,13461,18659,23088,6226
Ermua,218,581,664,10869,15173,17660,5328
Errenteria,255,453,718,10192,15168,17440,5822
Errezil,211,829,1296,10274,15531,17701,5091
Erriberagoitia/Ribera Alta,425,392,2134,13147,17610,20898,4800
Errigoiti,514,971,1984,11155,17112,20468,5844
Errioxa Arabarra / Rioja Alavesa,383,888,3351,7890,14253,16689,4176
Eskoriatza,280,1671,712,13489,20090,23103,6951
Etxebarri,245,456,989,14187,16847,19802,3924
Etxebarria,224,1170,1041,12865,17444,20497,5196
Ezkio-Itsaso,262,2184,1621,14674,21246,25070,6328
Forua,291,1194,969,11436,15941,18908,5018
Fruiz,388,950,855,14405,18049,21506,4908
Gabiria,314,2120,1723,15603,21458,25703,5943
Gaintza,579,705,1210,11778,17580,20694,6422
Galdakao,337,794,852,12969,16935,20225,5272
Galdames,271,547,948,11474,16276,19103,5863
Gamiz-Fika,714,1661,1843,14611,19451,23989,5161
Garai,1865,1981,1088,19112,23169,29092,5045
Gatika,419,591,1015,14856,18256,21963,5081
Gautegiz Arteaga,572,1313,1110,14563,18809,23012,5453
Gaztelu,251,425,1141,10252,16381,18677,6608
Gernika-Bermeo,327,1582,934,11469,16544,19675,5363
Gernika-Lumo,343,1539,997,11864,16628,19806,5063
Getaria,720,791,2171,13081,18263,21885,5121
Getxo,786,3248,1693,15301,21402,27067,6039
Gipuzkoa,505,1501,1011,12541,18306,21714,6157
Gizaburuaga,277,2122,452,15065,18736,22462,4547
Goierri,293,1619,825,13478,19086,22515,6299
Gorbeia Inguruak / Estribaciones del Gorbea,449,1437,1236,15363,19190,23259,4774
Gordexola,344,1068,1227,13652,17766,21356,5066
Gorliz,551,1067,1131,14866,18454,22435,4820
G�e�es,227,457,812,10992,14856,17269,4782
Harana/Valle de Arana,242,525,2436,5524,13547,15174,6447
Hernani,381,783,822,11674,16452,19190,5530
Hernialde,830,914,1160,12030,17676,20692,5759
Hondarribia,913,2115,1625,12594,19001,23016,5769
Ibarra,228,715,725,11412,16540,19272,6193
Ibarrangelu,469,1145,1312,15039,19969,24324,6360
Idiazabal,384,2226,877,15030,21551,25546,7029
Igorre,319,734,734,12768,16603,19589,5034
Ikaztegieta,539,3921,862,10924,18850,22130,5884
Irun,444,697,966,10344,15122,17671,5221
Irura,446,608,1095,16371,18926,22453,3933
Iruraiz-Gauna,816,706,2351,11881,16466,19358,3604
Iru�a Oka/Iru�a de Oca,386,547,1069,14277,16735,19904,3625
Ispaster,199,987,1002,12516,16826,20003,5299
Itsasondo,156,865,1011,12029,16903,19647,5586
Iurreta,241,549,750,11233,15478,18125,5352
Izurtza,790,1772,1573,12872,19063,22738,5732
Kantauri Arabarra / Cant�brica Alavesa,272,774,801,11227,15943,18798,5724
Karrantza Harana/Valle de Carranza,237,398,1939,5876,11928,13431,4981
